,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Y_Accept_Loan
0,30,6,191,2,4.4,2,0,0,0,1,0,1
1,43,19,58,2,3.2,1,0,0,0,1,0,0
2,50,25,99,1,4.6,1,368,1,1,0,1,1
3,29,3,91,1,3.4,3,0,0,0,0,0,1
4,34,4,83,4,4.0,3,0,0,0,1,0,0
5,33,9,125,1,4.3,3,0,0,0,1,0,1
6,28,3,149,1,0.8,1,0,0,0,1,0,0
7,46,22,74,3,0.7,1,0,0,0,1,0,0
8,34,9,123,1,1.6,2,0,0,0,1,0,1
9,28,2,182,3,7.2,2,442,0,1,1,1,1
10,52,26,155,3,7.2,2,0,0,0,1,0,1
11,54,28,49,4,2.8,2,0,1,0,0,0,0
12,29,4,184,4,2.2,3,612,0,0,1,0,1
13,51,24,189,4,4.75,2,0,0,0,1,0,1
14,51,26,72,1,2.9,1,0,0,0,0,0,0
15,42,16,64,3,0.5,3,247,0,0,0,0,0
16,35,9,109,3,4.0,1,0,0,0,0,0,1
17,32,8,104,2,3.7,1,0,0,0,0,1,1
18,34,8,165,1,7.0,3,541,0,0,0,0,1
19,27,1,141,4,5.1,3,354,0,0,0,0,1
20,65,41,154,2,4.6,2,0,1,1,1,1,1
21,37,13,58,2,0.6,3,0,0,0,0,1,0
22,29,3,123,3,5.6,3,428,0,0,1,0,1
23,57,31,25,2,0.7,2,103,0,0,0,0,0
24,65,40,143,4,6.6,2,0,0,0,1,0,1
25,43,17,64,4,3.0,3,221,0,0,1,0,1
26,49,25,8,1,0.3,1,97,0,0,0,0,0
27,54,29,111,1,1.1,2,0,0,0,1,0,1
28,47,22,40,3,2.7,2,0,0,0,1,0,0
29,43,19,170,4,4.25,1,318,0,1,1,1,1
30,38,13,129,4,4.4,1,140,0,0,0,0,1
31,26,2,172,2,6.9,2,0,0,0,1,0,1
32,52,27,135,1,0.6,1,452,0,0,1,0,0
33,59,35,39,1,1.8,3,0,0,0,1,0,0
34,49,23,134,2,6.3,1,0,0,0,1,0,0
35,49,25,161,3,6.5,2,485,1,1,0,0,1
36,62,37,11,1,0.1,1,0,0,0,1,0,0
37,54,28,170,2,6.2,2,325,0,0,1,0,1
38,38,8,71,4,1.8,3,0,0,0,1,0,0
39,46,22,18,1,0.9,3,0,0,0,1,0,0
40,30,4,110,1,2.9,3,0,0,0,1,0,0
41,53,28,192,2,6.4,3,0,0,0,0,0,1
42,34,9,40,4,2.0,2,0,0,0,1,1,0
43,35,11,190,3,3.1,2,266,0,0,0,0,1
44,50,26,22,4,0.5,2,112,0,0,1,0,0
45,63,37,145,2,6.9,1,0,0,0,1,0,0
46,52,28,54,4,0.1,3,0,0,0,0,1,0
47,35,8,48,2,1.67,2,0,0,0,1,0,0
48,60,34,21,3,0.3,3,129,0,0,1,0,0
49,24,0,88,3,0.8,1,134,0,0,0,0,0
50,58,34,90,1,3.6,2,0,0,0,0,0,1
51,56,32,190,3,2.2,1,0,0,1,1,0,1
52,32,7,98,1,4.2,1,171,1,1,0,0,1
53,57,31,61,1,2.2,3,0,0,0,0,0,0
54,27,2,170,3,4.7,1,0,0,0,1,0,1
55,57,31,131,3,0.6,1,0,0,0,1,0,1
56,62,37,98,1,0.9,1,151,0,0,1,0,0
57,64,34,179,2,4.5,3,400,0,0,0,0,1
58,42,18,51,3,2.1,3,0,0,0,0,0,0
59,30,4,40,1,0.3,1,0,0,0,1,0,0
60,38,13,129,4,0.3,3,75,0,0,1,0,1
61,34,8,171,2,2.2,2,569,0,0,1,0,1
62,52,25,180,2,9.0,2,297,0,0,1,0,1
63,61,37,141,3,0.7,1,0,0,1,1,1,1
64,41,17,51,2,0.6,3,0,0,0,0,1,0
65,39,15,80,2,1.8,2,86,0,0,1,1,0
66,27,2,92,2,3.1,1,178,0,0,1,0,0
67,42,16,111,2,1.2,3,251,0,0,1,0,1
68,36,12,123,2,5.6,2,0,0,1,1,1,1
69,60,36,145,4,6.9,1,380,0,0,0,1,1
70,46,20,74,4,2.6,3,0,0,0,1,0,0
71,36,11,158,1,5.1,3,0,0,1,1,1,1
72,42,16,62,1,0.7,3,170,0,1,1,1,0
73,65,40,69,4,0.1,2,0,0,0,1,0,0
74,57,33,93,2,1.6,1,161,0,0,0,0,0
75,48,22,42,3,0.6,2,121,0,0,1,0,0
76,51,25,44,3,0.9,3,0,0,0,0,0,0
77,60,33,154,1,3.0,2,0,1,1,1,0,1
78,64,39,122,4,0.2,1,378,0,0,1,0,1
79,37,13,70,2,2.7,1,0,0,0,0,0,0
80,47,22,124,4,5.0,3,0,0,0,0,0,1
81,50,24,35,1,0.3,3,0,0,0,1,0,0
82,46,21,53,4,1.9,3,0,0,0,0,0,0
83,44,20,111,2,5.3,2,0,0,0,1,0,1
84,27,2,20,4,0.5,3,0,0,0,1,0,0
85,43,19,129,1,5.0,1,0,1,0,1,0,0
86,35,9,21,2,1.4,3,125,0,0,1,0,0
87,59,33,63,1,1.6,1,0,0,0,1,1,0
88,50,26,92,1,2.6,2,213,0,0,0,1,0
89,34,9,41,1,1.0,1,0,0,0,1,0,0
90,60,34,40,1,2.5,3,166,0,0,1,0,0
91,54,30,100,4,3.4,3,0,0,0,0,0,1
92,50,26,148,2,0.4,1,508,0,0,0,0,0
93,30,6,124,2,0.6,1,0,0,0,1,0,0
94,44,19,40,4,0.0,2,0,0,0,1,0,0
95,56,30,145,4,5.7,2,0,0,1,1,1,1
96,38,12,141,2,0.0,1,0,0,0,1,1,0
97,41,16,154,1,7.0,1,0,0,0,0,1,0
98,34,9,178,1,0.8,3,0,0,0,0,0,1
99,55,29,131,2,0.7,2,0,0,0,0,1,1
100,50,23,179,4,3.6,2,0,0,0,1,0,1
101,65,39,150,2,6.9,1,196,0,0,0,0,0
102,55,30,145,2,6.0,3,0,0,0,1,0,1
103,61,35,152,3,3.3,3,0,0,0,1,0,1
104,45,21,134,4,5.5,2,0,0,1,1,1,1
105,31,6,170,2,6.7,1,137,0,0,1,0,0
106,43,17,125,4,3.5,2,0,0,0,0,0,1
107,35,10,142,4,0.8,3,0,0,0,0,0,1
108,53,27,75,1,1.9,2,0,0,0,1,0,0
109,34,10,114,3,3.3,3,0,0,0,0,0,1
110,37,13,79,1,3.6,2,104,0,0,1,0,0
111,39,14,104,3,1.0,1,242,0,0,1,0,0
112,51,27,80,1,2.6,2,0,0,0,1,1,0
113,28,4,114,2,0.2,1,0,0,0,1,0,0
114,48,24,75,4,1.4,2,0,0,0,1,0,0
115,30,6,118,2,2.8,2,0,0,0,0,0,1
116,31,7,31,4,0.4,2,79,0,0,0,0,0
117,36,11,64,4,2.1,3,0,0,0,0,0,0
118,35,9,79,4,2.2,2,0,0,0,0,0,0
119,44,19,30,1,0.5,3,0,0,0,1,0,0
120,34,9,180,1,8.9,3,0,0,0,0,0,1
121,52,26,191,1,1.7,1,0,0,0,1,0,0
122,41,17,143,2,2.7,3,209,0,0,1,0,1
123,57,33,170,2,2.1,2,0,0,0,0,0,1
124,65,39,94,4,4.1,1,120,0,1,1,1,1
125,59,35,11,2,1.0,1,0,0,0,0,1,0
126,58,31,178,2,6.0,2,0,0,0,1,0,1
127,45,18,50,3,2.5,2,0,0,0,1,0,0
128,53,29,83,4,1.0,2,0,0,0,1,0,0
129,64,38,29,3,0.7,2,0,0,0,1,0,0
130,55,25,52,1,1.4,3,207,1,0,0,0,0
131,38,13,80,4,0.7,3,285,0,0,1,0,0
132,46,20,122,3,3.0,3,0,0,1,1,1,1
133,49,25,114,1,2.5,3,0,0,0,1,0,1
134,33,7,139,1,4.0,3,106,0,1,1,1,1
135,61,31,154,3,7.5,3,351,0,1,1,1,1
136,46,20,185,4,7.5,2,428,0,0,0,1,1
137,40,14,129,1,5.9,3,0,0,0,1,0,1
138,51,25,34,3,0.6,2,128,0,0,1,0,0
139,30,3,172,3,3.4,2,0,0,0,0,1,1
140,53,29,141,2,0.2,3,0,0,0,0,0,1
141,34,8,175,4,1.1,3,0,1,1,1,1,1
142,51,27,45,1,1.6,2,82,0,0,1,0,0
143,33,8,120,2,4.2,3,76,0,0,0,1,1
144,35,10,200,2,3.0,1,458,0,0,0,0,0
145,38,13,168,2,1.3,3,0,0,0,0,0,1
146,48,22,149,2,5.5,2,0,1,1,1,0,1
147,37,12,179,1,8.6,1,0,0,0,1,0,0
148,36,12,142,3,2.3,2,0,0,1,1,1,1
149,28,2,48,4,2.1,3,0,0,0,1,1,0
150,31,5,85,3,1.6,1,87,0,0,1,1,0
151,61,37,31,3,0.4,2,0,0,0,0,1,0
152,40,16,89,3,3.9,2,216,1,1,1,0,1
153,37,13,72,4,2.0,3,0,1,0,0,0,0
154,65,41,105,1,3.0,2,282,1,1,1,0,1
155,46,20,72,2,1.7,2,75,0,0,1,0,0
156,31,6,64,2,0.1,1,0,0,0,1,1,0
157,38,12,38,2,0.3,1,0,0,0,1,1,0
158,56,30,32,2,0.4,3,0,0,0,1,0,0
159,63,37,149,2,0.2,3,364,0,0,1,0,1
