age,job,marital,education,balance,housing,loan,duration,campaign,pdays,previous,target
30,unemployed,married,1,1787,no,no,79,1,-1,0,no
33,services,married,2,4789,yes,yes,220,1,339,4,no
35,management,single,3,1350,yes,no,185,1,330,1,no
30,management,married,3,1476,yes,yes,199,4,-1,0,no
59,blue-collar,married,2,0,yes,no,226,1,-1,0,no
35,management,single,3,747,no,no,141,2,176,3,no
36,self-employed,married,3,307,yes,no,341,1,330,2,no
39,technician,married,2,147,yes,no,151,2,-1,0,no
41,entrepreneur,married,3,221,yes,no,57,2,-1,0,no
43,services,married,1,-88,yes,yes,313,1,147,2,no
39,services,married,2,9374,yes,no,273,1,-1,0,no
43,admin.,married,2,264,yes,no,113,2,-1,0,no
36,technician,married,3,1109,no,no,328,2,-1,0,no
20,student,single,2,502,no,no,261,1,-1,0,yes
31,blue-collar,married,2,360,yes,yes,89,1,241,1,no
40,management,married,3,194,no,yes,189,2,-1,0,no
56,technician,married,2,4073,no,no,239,5,-1,0,no
37,admin.,single,3,2317,yes,no,114,1,152,2,no
25,blue-collar,single,1,-221,yes,no,250,1,-1,0,no
31,services,married,2,132,no,no,148,1,152,1,no
42,management,divorced,3,16,no,no,140,3,-1,0,no
44,services,single,2,106,no,no,109,2,-1,0,no
44,entrepreneur,married,2,93,no,no,125,2,-1,0,no
26,housemaid,married,3,543,no,no,169,3,-1,0,no
41,management,married,3,5883,no,no,182,2,-1,0,no
55,blue-collar,married,1,627,yes,no,247,1,-1,0,no
56,self-employed,married,2,784,no,yes,149,2,-1,0,no
53,admin.,married,2,105,no,yes,74,2,-1,0,no
68,retired,divorced,2,4189,no,no,897,2,-1,0,yes
31,technician,married,2,171,no,no,81,3,-1,0,no
59,management,married,2,42,no,no,40,1,-1,0,no
32,management,single,3,2536,yes,no,958,6,-1,0,yes
49,technician,married,3,1235,no,no,354,3,-1,0,yes
42,admin.,divorced,2,1811,yes,no,150,1,-1,0,no
78,retired,divorced,1,229,no,no,97,1,-1,0,yes
32,blue-collar,married,2,2089,yes,no,132,1,-1,0,yes
33,management,married,2,3935,yes,no,765,1,342,2,yes
23,services,single,3,363,yes,no,16,18,-1,0,no
38,management,single,3,11971,yes,no,609,2,101,3,no
36,management,single,3,553,no,no,106,2,-1,0,no
52,blue-collar,married,2,1117,yes,no,365,1,-1,0,no
32,technician,married,3,396,yes,no,205,3,-1,0,no
32,technician,single,3,2204,yes,no,11,4,-1,0,no
34,management,single,3,872,yes,no,105,2,-1,0,no
55,blue-collar,married,1,145,no,no,59,3,5,2,no
26,blue-collar,married,1,0,yes,no,425,1,-1,0,no
32,entrepreneur,single,1,-849,yes,yes,204,1,-1,0,no
45,blue-collar,divorced,1,844,no,no,1018,3,-1,0,yes
37,technician,single,2,228,yes,no,1740,2,-1,0,no
38,technician,single,2,50,no,no,98,2,-1,0,no
34,technician,married,3,1539,yes,no,441,1,56,1,yes
53,blue-collar,married,2,2231,yes,no,272,3,-1,0,no
48,admin.,married,2,3064,yes,no,159,2,-1,0,no
57,management,married,2,82,no,yes,140,1,-1,0,no
33,self-employed,single,3,2155,no,no,295,1,-1,0,no
36,retired,single,2,101,yes,yes,314,1,-1,0,no
54,technician,divorced,2,784,yes,yes,579,1,-1,0,no
41,blue-collar,married,1,-516,no,yes,554,3,-1,0,no
63,retired,married,2,415,yes,no,323,1,-1,0,no
48,management,married,3,5887,no,no,227,2,-1,0,no
48,services,married,2,1355,no,no,134,2,-1,0,no
56,admin.,married,2,16873,no,no,223,1,-1,0,no
51,blue-collar,divorced,2,203,yes,no,134,1,170,5,no
31,services,married,2,338,yes,no,155,1,-1,0,no
29,technician,married,2,444,yes,no,130,4,-1,0,no
41,management,married,2,0,no,yes,630,3,-1,0,no
