age,education,balance,duration,campaign,pdays,previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,housing_yes,loan_yes,target_yes
30,1,1787,79,1,-1,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
33,2,4789,220,1,339,4,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
35,3,1350,185,1,330,1,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
30,3,1476,199,4,-1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
59,2,0,226,1,-1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
35,3,747,141,2,176,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
36,3,307,341,1,330,2,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
39,2,147,151,2,-1,0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
41,3,221,57,2,-1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
43,1,-88,313,1,147,2,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
39,2,9374,273,1,-1,0,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
43,2,264,113,2,-1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
36,3,1109,328,2,-1,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
20,2,502,261,1,-1,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
31,2,360,89,1,241,1,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
40,3,194,189,2,-1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
56,2,4073,239,5,-1,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
37,3,2317,114,1,152,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
25,1,-221,250,1,-1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
31,2,132,148,1,152,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
42,3,16,140,3,-1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
44,2,106,109,2,-1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
44,2,93,125,2,-1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
26,3,543,169,3,-1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
41,3,5883,182,2,-1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
55,1,627,247,1,-1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
56,2,784,149,2,-1,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
53,2,105,74,2,-1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
68,2,4189,897,2,-1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
31,2,171,81,3,-1,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
59,2,42,40,1,-1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
32,3,2536,958,6,-1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True
49,3,1235,354,3,-1,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
42,2,1811,150,1,-1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
78,1,229,97,1,-1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
32,2,2089,132,1,-1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
33,2,3935,765,1,342,2,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
23,3,363,16,18,-1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
38,3,11971,609,2,101,3,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
