year,amount
2006,67
2005,64
2004,54
2007,49
2003,45
1976,33
1977,32
1920,30
1959,26
1998,25
1999,25
1965,24
2000,24
1970,24
1954,24
1958,24
2008,23
2002,23
1972,23
1971,22
1968,22
1950,20
1957,20
2001,20
1994,19
1962,19
1940,18
1966,18
2009,18
1995,18
1910,17
1993,17
1960,17
1963,16
1978,16
1925,16
1955,16
1967,16
1996,15
1941,15
1964,15
1961,14
1948,14
1956,14
1969,14
1997,14
1992,13
1953,12
1990,12
1949,12
1973,11
1988,11
1900,10
1974,10
1915,10
1980,10
1984,9
1926,9
1936,9
1979,9
1930,9
1922,8
1975,8
1939,8
1916,8
1928,7
1914,7
1923,7
1924,7
1918,7
1946,7
1935,6
1951,6
1921,6
1945,6
1982,6
1931,6
1986,5
1937,5
1981,5
1991,5
1947,5
1952,5
1985,5
1929,4
1938,4
1983,4
1932,4
1880,4
1919,3
1989,3
1912,3
1927,3
1987,3
1934,3
1942,2
1890,2
1885,2
1908,2
1892,2
1913,1
1893,1
1906,1
2010,1
1898,1
1904,1
1882,1
1875,1
1911,1
1917,1
1872,1
1905,1
