,is_cancelled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day,weekend_nights,week_nights,adults,children,babies,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,days_in_waiting_list,customer_type,required_car_parking_spaces,special_request,price
5,0,9,2015,7,1,0,2,2,0.0,0,Direct,0,0,0,C,0,Transient,0,1,206.0
6,1,85,2015,7,1,0,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,246.0
7,1,75,2015,7,1,0,3,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,316.5
8,1,23,2015,7,1,0,4,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,492.0
9,0,35,2015,7,1,0,4,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,580.0
15,0,12,2015,7,1,0,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,88.2
17,0,7,2015,7,1,0,4,2,0.0,0,Direct,0,0,0,G,0,Transient,0,1,612.0
18,0,37,2015,7,1,1,4,1,0.0,0,TA/TO,0,0,0,F,0,Transient,0,1,486.4500000000001
20,0,72,2015,7,1,2,4,2,0.0,0,Direct,0,0,0,A,0,Transient,0,1,508.02
21,0,72,2015,7,1,2,4,2,0.0,0,Direct,0,0,0,D,0,Transient,0,1,598.02
22,0,127,2015,7,1,2,5,2,0.0,0,TA/TO,0,0,0,D,0,Contract,0,1,664.65
24,0,48,2015,7,1,2,5,2,0.0,0,TA/TO,0,0,0,D,0,Contract,0,0,556.5
25,1,60,2015,7,1,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,749.0
26,0,77,2015,7,1,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,658.0
28,0,69,2015,7,2,2,4,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,393.0
29,1,45,2015,7,2,1,3,3,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,435.2
30,1,40,2015,7,2,1,3,3,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,435.2
31,0,15,2015,7,2,1,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,392.0
32,0,36,2015,7,2,1,3,3,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,435.2
33,1,43,2015,7,2,1,3,3,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,435.2
34,0,70,2015,7,2,2,3,2,0.0,0,Direct,0,0,0,E,0,Transient,0,1,685.0
35,1,45,2015,7,2,2,3,2,0.0,0,TA/TO,0,0,0,G,0,Transient,0,0,589.05
37,0,16,2015,7,2,2,3,2,0.0,0,Direct,0,0,0,F,0,Transient,0,0,615.0
40,1,47,2015,7,2,2,5,2,2.0,0,TA/TO,0,0,0,G,0,Transient,0,0,1071.0
42,0,113,2015,7,2,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient-Party,0,1,580.16
44,0,50,2015,7,2,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,835.4499999999998
46,0,3,2015,7,2,0,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,0,88.2
47,0,1,2015,7,2,0,1,2,0.0,0,TA/TO,0,0,0,G,0,Transient,1,0,147.0
48,0,1,2015,7,2,0,1,2,2.0,0,Direct,0,0,0,C,0,Transient,1,1,107.0
51,0,0,2015,7,2,0,1,2,0.0,0,Direct,0,0,0,G,0,Transient,0,0,123.0
53,0,10,2015,7,2,0,2,2,0.0,0,TA/TO,0,0,0,G,0,Transient,0,0,235.62
54,0,5,2015,7,2,0,2,2,0.0,0,TA/TO,0,0,0,E,0,Transient,1,1,270.0
56,0,93,2015,7,2,0,3,2,0.0,0,TA/TO,0,0,0,A,0,Contract,0,0,176.85000000000005
57,1,3,2015,7,2,0,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,408.99
58,0,10,2015,7,3,0,2,2,2.0,0,TA/TO,0,0,0,G,0,Transient,1,0,306.0
59,0,3,2015,7,3,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,221.0
60,0,51,2015,7,3,0,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,194.0
61,1,71,2015,7,3,0,2,3,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,220.6
62,1,63,2015,7,3,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,164.0
63,1,62,2015,7,3,0,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,194.0
64,1,101,2015,7,3,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,147.6
67,1,51,2015,7,3,0,2,3,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,220.6
68,0,3,2015,7,3,1,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,0,272.70000000000005
69,1,48,2015,7,3,1,2,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,369.0
72,0,81,2015,7,3,2,6,3,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,686.88
